id,time,latitude,longitude,mag,magType,place,type,status,locationSource,state
ak0223epay9p,2022-03-15 19:37:49.150000+00:00,61.3271,-151.3982,1.6,ml,"26 km NW of Beluga, Alaska",earthquake,reviewed,ak,US-AK
us6000h5tg,2022-03-15 19:36:39.140000+00:00,14.0402,119.3954,4.6,mb,"72 km WNW of Cabra, Philippines",earthquake,reviewed,us,
ak0223ep85hk,2022-03-15 19:24:42.484000+00:00,61.402,-146.8176,1.4,ml,"39 km NW of Valdez, Alaska",earthquake,reviewed,ak,US-AK
nc73706166,2022-03-15 19:23:59.620000+00:00,38.8106651,-122.824501,0.85,md,"7km WNW of The Geysers, CA",earthquake,automatic,nc,US-CA
ci39968719,2022-03-15 19:22:15.770000+00:00,33.8501667,-117.4863333,1.4,ml,"4km SE of Home Gardens, CA",quarry blast,reviewed,ci,US-CA
nc73706161,2022-03-15 19:20:06.750000+00:00,38.7756667,-122.8771667,1.01,md,"10km W of The Geysers, CA",earthquake,reviewed,nc,US-CA
us6000h5te,2022-03-15 19:17:45.054000+00:00,14.74,119.474,4.3,mb,"68 km WSW of San Nicolas, Philippines",earthquake,reviewed,us,
nc73706156,2022-03-15 19:17:35.700000+00:00,38.8036667,-122.7325,0.34,md,"2km SSW of Cobb, CA",earthquake,reviewed,nc,US-CA
ak0223ep6l8r,2022-03-15 19:17:13.368000+00:00,62.1579,-150.552,1.5,ml,"24 km SW of Trapper Creek, Alaska",earthquake,reviewed,ak,US-AK
pr71340343,2022-03-15 19:16:16.730000+00:00,17.9663333333333,-66.8715,2.33,md,Puerto Rico region,earthquake,reviewed,pr,US-PR
uu60485682,2022-03-15 19:15:40.350000+00:00,39.4165,-110.3108333,1.98,md,"16 km SSE of Sunnyside, Utah",earthquake,reviewed,uu,US-UT
ak0223ep5bmb,2022-03-15 19:11:22.115000+00:00,51.8709,-177.2434,1.9,ml,"41 km W of Adak, Alaska",earthquake,reviewed,ak,US-AK
ak0223ep4jff,2022-03-15 19:07:56.870000+00:00,61.7898,-150.7917,1.2,ml,"31 km NNW of Susitna, Alaska",earthquake,reviewed,ak,US-AK
mb80540539,2022-03-15 19:02:54.880000+00:00,46.0163333,-112.4731667,1.79,ml,"4 km ENE of Butte, Montana",quarry blast,reviewed,mb,US-MT
ci39968703,2022-03-15 19:00:32.840000+00:00,32.7805,-116.8841667,1.26,ml,"6km ESE of Bostonia, CA",quarry blast,reviewed,ci,US-CA
nc73706151,2022-03-15 18:55:44.710000+00:00,38.8165016,-122.7998352,0.56,md,"6km NW of The Geysers, CA",earthquake,automatic,nc,US-CA
nc73706146,2022-03-15 18:55:13.580000+00:00,38.8168335,-122.7994995,0.84,md,"6km NW of The Geysers, CA",earthquake,automatic,nc,US-CA
nc73706141,2022-03-15 18:50:29.120000+00:00,38.7653333,-122.8883333,1.26,md,"12km W of The Geysers, CA",earthquake,reviewed,nc,US-CA
